stopword & Stemming,"after_N-Gram(1,2)"
"['cocok', 'anak', 'didik']","['cocok', 'cocok anak', 'anak', 'anak didik', 'didik']"
"['thanks', 'meski', 'langgan', 'fitur', 'gratis', 'ngebantu', 'bangett', 'akuu', 'makas']","['thanks', 'thanks meski', 'meski', 'meski langgan', 'langgan', 'langgan fitur', 'fitur', 'fitur gratis', 'gratis', 'gratis ngebantu', 'ngebantu', 'ngebantu bangett', 'bangett', 'bangett akuu', 'akuu', 'akuu makas', 'makas']"
"['aplikasi', 'kecewa', 'sesuai', 'iklan', 'erti', 'sesuai', 'arti', 'manyoritas', 'ulang']","['aplikasi', 'aplikasi kecewa', 'kecewa', 'kecewa sesuai', 'sesuai', 'sesuai iklan', 'iklan', 'iklan erti', 'erti', 'erti sesuai', 'sesuai', 'sesuai arti', 'arti', 'arti manyoritas', 'manyoritas', 'manyoritas ulang', 'ulang']"
"['aplikasi', 'kapitalis']","['aplikasi', 'aplikasi kapitalis', 'kapitalis']"
"['bimbel', 'seru', 'ajar', 'dapat', 'lengkap', 'tinggal', 'video', 'ajar', 'udh', 'bantu', 'banget']","['bimbel', 'bimbel seru', 'seru', 'seru ajar', 'ajar', 'ajar dapat', 'dapat', 'dapat lengkap', 'lengkap', 'lengkap tinggal', 'tinggal', 'tinggal video', 'video', 'video ajar', 'ajar', 'ajar udh', 'udh', 'udh bantu', 'bantu', 'bantu banget', 'banget']"
"['maaf', 'puas', 'ruang', 'guru', 'kesini', 'mahal', 'akses', 'batas', 'akses', 'roboguru', 'web', 'bayar', 'promosi', 'hubung', 'ganggu']","['maaf', 'maaf puas', 'puas', 'puas ruang', 'ruang', 'ruang guru', 'guru', 'guru kesini', 'kesini', 'kesini mahal', 'mahal', 'mahal akses', 'akses', 'akses batas', 'batas', 'batas akses', 'akses', 'akses roboguru', 'roboguru', 'roboguru web', 'web', 'web bayar', 'bayar', 'bayar promosi', 'promosi', 'promosi hubung', 'hubung', 'hubung ganggu', 'ganggu']"
"['ruang', 'guru', 'bagus', 'ajar', 'suka', 'ruang', 'guru', 'barbagai', 'ajar', 'ruang', 'guru', 'bantu', 'ajar', 'seru', 'pake', 'ruang', 'guru', 'silah', 'coba', 'aplikasi', 'seru', 'banget', 'ajar', 'semangat', 'ruang', 'guru', 'teman', 'ajar']","['ruang', 'ruang guru', 'guru', 'guru bagus', 'bagus', 'bagus ajar', 'ajar', 'ajar suka', 'suka', 'suka ruang', 'ruang', 'ruang guru', 'guru', 'guru barbagai', 'barbagai', 'barbagai ajar', 'ajar', 'ajar ruang', 'ruang', 'ruang guru', 'guru', 'guru bantu', 'bantu', 'bantu ajar', 'ajar', 'ajar seru', 'seru', 'seru pake', 'pake', 'pake ruang', 'ruang', 'ruang guru', 'guru', 'guru silah', 'silah', 'silah coba', 'coba', 'coba aplikasi', 'aplikasi', 'aplikasi seru', 'seru', 'seru banget', 'banget', 'banget ajar', 'ajar', 'ajar semangat', 'semangat', 'semangat ruang', 'ruang', 'ruang guru', 'guru', 'guru teman', 'teman', 'teman ajar', 'ajar']"
"['fiturnya', 'fitur', 'alami', 'turun', 'performa', 'salah', 'satu', 'sharing', 'yangmana', 'diupload', 'terkropterzoom', 'aplikasi', 'sebab', 'informasi', 'baca', 'terkrop', 'otomatis', 'kecewa', 'maaf', 'turun', 'rating']","['fiturnya', 'fiturnya fitur', 'fitur', 'fitur alami', 'alami', 'alami turun', 'turun', 'turun performa', 'performa', 'performa salah', 'salah', 'salah satu', 'satu', 'satu sharing', 'sharing', 'sharing yangmana', 'yangmana', 'yangmana diupload', 'diupload', 'diupload terkropterzoom', 'terkropterzoom', 'terkropterzoom aplikasi', 'aplikasi', 'aplikasi sebab', 'sebab', 'sebab informasi', 'informasi', 'informasi baca', 'baca', 'baca terkrop', 'terkrop', 'terkrop otomatis', 'otomatis', 'otomatis kecewa', 'kecewa', 'kecewa maaf', 'maaf', 'maaf turun', 'turun', 'turun rating', 'rating']"
"['ko', 'ad', 'ajar', 'mulok']","['ko', 'ko ad', 'ad', 'ad ajar', 'ajar', 'ajar mulok', 'mulok']"
"['minimal', 'baik', 'sistem', 'kasi', 'uda', 'langgan', 'pakai', 'ngelag', 'pdahal', 'video', 'ajar', 'bagus', 'interaktif', 'tpi', 'ngelag', 'detik', 'gin', 'orabg', 'ajar', 'langgan', 'mahal']","['minimal', 'minimal baik', 'baik', 'baik sistem', 'sistem', 'sistem kasi', 'kasi', 'kasi uda', 'uda', 'uda langgan', 'langgan', 'langgan pakai', 'pakai', 'pakai ngelag', 'ngelag', 'ngelag pdahal', 'pdahal', 'pdahal video', 'video', 'video ajar', 'ajar', 'ajar bagus', 'bagus', 'bagus interaktif', 'interaktif', 'interaktif tpi', 'tpi', 'tpi ngelag', 'ngelag', 'ngelag detik', 'detik', 'detik gin', 'gin', 'gin orabg', 'orabg', 'orabg ajar', 'ajar', 'ajar langgan', 'langgan', 'langgan mahal', 'mahal']"
"['ruang', 'guru']","['ruang', 'ruang guru', 'guru']"
"['bagus', 'banget']","['bagus', 'bagus banget', 'banget']"
"['mantep', 'aplikasi', 'cuman', 'bayar']","['mantep', 'mantep aplikasi', 'aplikasi', 'aplikasi cuman', 'cuman', 'cuman bayar', 'bayar']"
"['seruu', 'banget', 'ajar', 'ruang', 'guru']","['seruu', 'seruu banget', 'banget', 'banget ajar', 'ajar', 'ajar ruang', 'ruang', 'ruang guru', 'guru']"
"['bantu', 'ajar']","['bantu', 'bantu ajar', 'ajar']"
['bagus'],['bagus']
['keren'],['keren']
"['drill', 'lag', 'selesai', 'drill', 'bilang', 'jaring', 'error', 'pdhl', 'sinyal', 'bagus', 'alhasil', 'dapet', 'poin', 'ngerjain', 'drill', 'sedih', 'motivasi', 'drill', 'susah', 'payah']","['drill', 'drill lag', 'lag', 'lag selesai', 'selesai', 'selesai drill', 'drill', 'drill bilang', 'bilang', 'bilang jaring', 'jaring', 'jaring error', 'error', 'error pdhl', 'pdhl', 'pdhl sinyal', 'sinyal', 'sinyal bagus', 'bagus', 'bagus alhasil', 'alhasil', 'alhasil dapet', 'dapet', 'dapet poin', 'poin', 'poin ngerjain', 'ngerjain', 'ngerjain drill', 'drill', 'drill sedih', 'sedih', 'sedih motivasi', 'motivasi', 'motivasi drill', 'drill', 'drill susah', 'susah', 'susah payah', 'payah']"
"['bagus', 'banget', 'ajar', 'kaya', 'game', 'maka', 'ruangguru']","['bagus', 'bagus banget', 'banget', 'banget ajar', 'ajar', 'ajar kaya', 'kaya', 'kaya game', 'game', 'game maka', 'maka', 'maka ruangguru', 'ruangguru']"
['apk'],['apk']
"['panjang', 'chat', 'trs', 'kakak2']","['panjang', 'panjang chat', 'chat', 'chat trs', 'trs', 'trs kakak2', 'kakak2']"
"['sgt', 'bagus', 'informatif', 'trimakaciw']","['sgt', 'sgt bagus', 'bagus', 'bagus informatif', 'informatif', 'informatif trimakaciw', 'trimakaciw']"
"['seru', 'bosan']","['seru', 'seru bosan', 'bosan']"
['beast'],['beast']
['bantu'],['bantu']
"['video', 'loading', 'jaring', 'lancar']","['video', 'video loading', 'loading', 'loading jaring', 'jaring', 'jaring lancar', 'lancar']"
['l0'],['l0']
['bagus'],['bagus']
"['ruangguru', 'bantu', 'ajar', 'bahasa', 'inggris', 'matematika', 'ipa', 'lancar', 'ajar', 'bahasa', 'makasih', 'bantu', 'ruangguru']","['ruangguru', 'ruangguru bantu', 'bantu', 'bantu ajar', 'ajar', 'ajar bahasa', 'bahasa', 'bahasa inggris', 'inggris', 'inggris matematika', 'matematika', 'matematika ipa', 'ipa', 'ipa lancar', 'lancar', 'lancar ajar', 'ajar', 'ajar bahasa', 'bahasa', 'bahasa makasih', 'makasih', 'makasih bantu', 'bantu', 'bantu ruangguru', 'ruangguru']"
"['tidakk', 'jelaas']","['tidakk', 'tidakk jelaas', 'jelaas']"
"['mantab', 'bimbel']","['mantab', 'mantab bimbel', 'bimbel']"
"['ruang', 'guru']","['ruang', 'ruang guru', 'guru']"
"['download', 'apk', 'kebimbel']","['download', 'download apk', 'apk', 'apk kebimbel', 'kebimbel']"
"['hubung', 'karyawan', 'ruang', 'guru', 'menggangu']","['hubung', 'hubung karyawan', 'karyawan', 'karyawan ruang', 'ruang', 'ruang guru', 'guru', 'guru menggangu', 'menggangu']"
"['bagus', 'banget']","['bagus', 'bagus banget', 'banget']"
['bagus'],['bagus']
"['materi', 'dapat', 'ku', 'lupakanseperti', 'hidup', 'dberikan', 'ku', 'seksamadari', 'terbit', 'matahari', 'benam', 'baik', 'ddekat', 'sayawalaupun', 'orng', 'manusia', 'sempurna', 'coba', 'sempurna']","['materi', 'materi dapat', 'dapat', 'dapat ku', 'ku', 'ku lupakanseperti', 'lupakanseperti', 'lupakanseperti hidup', 'hidup', 'hidup dberikan', 'dberikan', 'dberikan ku', 'ku', 'ku seksamadari', 'seksamadari', 'seksamadari terbit', 'terbit', 'terbit matahari', 'matahari', 'matahari benam', 'benam', 'benam baik', 'baik', 'baik ddekat', 'ddekat', 'ddekat sayawalaupun', 'sayawalaupun', 'sayawalaupun orng', 'orng', 'orng manusia', 'manusia', 'manusia sempurna', 'sempurna', 'sempurna coba', 'coba', 'coba sempurna', 'sempurna']"
['bagus'],['bagus']
"['apps', 'suka', 'rgtapi', 'baik', 'brain', 'academy', 'malam', 'coba', 'jam', 'sore', 'nabrak', 'jam', 'sekolah']","['apps', 'apps suka', 'suka', 'suka rgtapi', 'rgtapi', 'rgtapi baik', 'baik', 'baik brain', 'brain', 'brain academy', 'academy', 'academy malam', 'malam', 'malam coba', 'coba', 'coba jam', 'jam', 'jam sore', 'sore', 'sore nabrak', 'nabrak', 'nabrak jam', 'jam', 'jam sekolah', 'sekolah']"
"['aplikasi', 'seru', 'tonton', 'bosen', 'ruang', 'guru', 'best']","['aplikasi', 'aplikasi seru', 'seru', 'seru tonton', 'tonton', 'tonton bosen', 'bosen', 'bosen ruang', 'ruang', 'ruang guru', 'guru', 'guru best', 'best']"
['bgs'],['bgs']
['bantu'],['bantu']
"['aplikasi', 'bagus', 'video', 'mendownload', 'gagal', 'koneksi', 'wifi', 'bagus', 'tolong', 'baik']","['aplikasi', 'aplikasi bagus', 'bagus', 'bagus video', 'video', 'video mendownload', 'mendownload', 'mendownload gagal', 'gagal', 'gagal koneksi', 'koneksi', 'koneksi wifi', 'wifi', 'wifi bagus', 'bagus', 'bagus tolong', 'tolong', 'tolong baik', 'baik']"
"['jelas', 'tutor', 'simpel', 'mudah', 'paham', 'fitur', 'dptdi', 'manfaat', 'bgtu', 'bsar']","['jelas', 'jelas tutor', 'tutor', 'tutor simpel', 'simpel', 'simpel mudah', 'mudah', 'mudah paham', 'paham', 'paham fitur', 'fitur', 'fitur dptdi', 'dptdi', 'dptdi manfaat', 'manfaat', 'manfaat bgtu', 'bgtu', 'bgtu bsar', 'bsar']"
"['bantu', 'jelas', 'mudah', 'paham', 'terimakasih']","['bantu', 'bantu jelas', 'jelas', 'jelas mudah', 'mudah', 'mudah paham', 'paham', 'paham terimakasih', 'terimakasih']"
"['ajar', 'rg', 'seru', 'banget', 'video', 'ilustrasi', 'bahas', 'modul', 'materi', 'akses', 'jk', 'download']","['ajar', 'ajar rg', 'rg', 'rg seru', 'seru', 'seru banget', 'banget', 'banget video', 'video', 'video ilustrasi', 'ilustrasi', 'ilustrasi bahas', 'bahas', 'bahas modul', 'modul', 'modul materi', 'materi', 'materi akses', 'akses', 'akses jk', 'jk', 'jk download', 'download']"
['bantu'],['bantu']
"['ruang', 'guru', 'bosan', 'ajar']","['ruang', 'ruang guru', 'guru', 'guru bosan', 'bosan', 'bosan ajar', 'ajar']"
"['harap', 'depan', 'ruangguru', 'depan', 'baik', 'jaring', 'guna', 'nyaman', 'apk', 'ruangguru']","['harap', 'harap depan', 'depan', 'depan ruangguru', 'ruangguru', 'ruangguru depan', 'depan', 'depan baik', 'baik', 'baik jaring', 'jaring', 'jaring guna', 'guna', 'guna nyaman', 'nyaman', 'nyaman apk', 'apk', 'apk ruangguru', 'ruangguru']"
"['ruang', 'guru', 'bagus', 'fitur', 'semangat', 'ajar', 'teman', 'ajar']","['ruang', 'ruang guru', 'guru', 'guru bagus', 'bagus', 'bagus fitur', 'fitur', 'fitur semangat', 'semangat', 'semangat ajar', 'ajar', 'ajar teman', 'teman', 'teman ajar', 'ajar']"
"['mulaiterima', 'kasih', 'trs', 'kembang']","['mulaiterima', 'mulaiterima kasih', 'kasih', 'kasih trs', 'trs', 'trs kembang', 'kembang']"
"['kendala', 'live', 'streamingnya']","['kendala', 'kendala live', 'live', 'live streamingnya', 'streamingnya']"
"['sukses', 'ruang', 'guru']","['sukses', 'sukses ruang', 'ruang', 'ruang guru', 'guru']"
"['bagus', 'ajar']","['bagus', 'bagus ajar', 'ajar']"
"['ajar', 'terima', 'kasih', 'ruang', 'guru']","['ajar', 'ajar terima', 'terima', 'terima kasih', 'kasih', 'kasih ruang', 'ruang', 'ruang guru', 'guru']"
"['maaf', 'ruangguru', 'pas', 'masuk', 'email', 'bener', 'salah', 'mengapus']","['maaf', 'maaf ruangguru', 'ruangguru', 'ruangguru pas', 'pas', 'pas masuk', 'masuk', 'masuk email', 'email', 'email bener', 'bener', 'bener salah', 'salah', 'salah mengapus', 'mengapus']"
"['mantap', 'materi', 'asyik', 'animasi', 'ajar', 'bosan']","['mantap', 'mantap materi', 'materi', 'materi asyik', 'asyik', 'asyik animasi', 'animasi', 'animasi ajar', 'ajar', 'ajar bosan', 'bosan']"
"['animasi', 'bagus', 'pah', 'suka', 'kuis']","['animasi', 'animasi bagus', 'bagus', 'bagus pah', 'pah', 'pah suka', 'suka', 'suka kuis', 'kuis']"
"['aplikasi', 'guna', 'anak', 'anak', 'rangking', '4', 'sekolah', 'terimakasih', 'ruangguru']","['aplikasi', 'aplikasi guna', 'guna', 'guna anak', 'anak', 'anak anak', 'anak', 'anak rangking', 'rangking', 'rangking 4', '4', '4 sekolah', 'sekolah', 'sekolah terimakasih', 'terimakasih', 'terimakasih ruangguru', 'ruangguru']"
"['ruang', 'gurusinyal', 'oke', 'video', 'putar', 'ajar', 'ganggu', 'paksa', 'ajar', 'youtube', 'tolong', 'baik']","['ruang', 'ruang gurusinyal', 'gurusinyal', 'gurusinyal oke', 'oke', 'oke video', 'video', 'video putar', 'putar', 'putar ajar', 'ajar', 'ajar ganggu', 'ganggu', 'ganggu paksa', 'paksa', 'paksa ajar', 'ajar', 'ajar youtube', 'youtube', 'youtube tolong', 'tolong', 'tolong baik', 'baik']"
"['kadang', 'suka', 'gajelas', 'kesel', 'ajar']","['kadang', 'kadang suka', 'suka', 'suka gajelas', 'gajelas', 'gajelas kesel', 'kesel', 'kesel ajar', 'ajar']"
"['bantu', 'anak', 'erti', 'jelas', 'ruang', 'guruterimakasih', 'ruang', 'guru']","['bantu', 'bantu anak', 'anak', 'anak erti', 'erti', 'erti jelas', 'jelas', 'jelas ruang', 'ruang', 'ruang guruterimakasih', 'guruterimakasih', 'guruterimakasih ruang', 'ruang', 'ruang guru', 'guru']"
"['esmezing', 'keren', 'wicis', 'kul', 'af']","['esmezing', 'esmezing keren', 'keren', 'keren wicis', 'wicis', 'wicis kul', 'kul', 'kul af', 'af']"
"['belajarjdi', 'download']","['belajarjdi', 'belajarjdi download', 'download']"
"['bagus', 'banget']","['bagus', 'bagus banget', 'banget']"
"['konyol', 'ruang', 'guru', 'pake']","['konyol', 'konyol ruang', 'ruang', 'ruang guru', 'guru', 'guru pake', 'pake']"
[],[]
"['baik', 'tinggal', 'aplikasi', 'sebentar', 'buka', 'aplikasi', 'open', 'aplikasi']","['baik', 'baik tinggal', 'tinggal', 'tinggal aplikasi', 'aplikasi', 'aplikasi sebentar', 'sebentar', 'sebentar buka', 'buka', 'buka aplikasi', 'aplikasi', 'aplikasi open', 'open', 'open aplikasi', 'aplikasi']"
['bagus'],['bagus']
"['aplikasi', 'bantu', 'banget', 'tambah', 'ajar', 'video', 'ajar', 'lengkap', 'animasi', 'seru', 'ngebosenin', 'semangat', 'ajar', 'berkat', 'ruangguru', 'juara', 'kelas', 'sekolah', 'pokok', 'best', 'banget']","['aplikasi', 'aplikasi bantu', 'bantu', 'bantu banget', 'banget', 'banget tambah', 'tambah', 'tambah ajar', 'ajar', 'ajar video', 'video', 'video ajar', 'ajar', 'ajar lengkap', 'lengkap', 'lengkap animasi', 'animasi', 'animasi seru', 'seru', 'seru ngebosenin', 'ngebosenin', 'ngebosenin semangat', 'semangat', 'semangat ajar', 'ajar', 'ajar berkat', 'berkat', 'berkat ruangguru', 'ruangguru', 'ruangguru juara', 'juara', 'juara kelas', 'kelas', 'kelas sekolah', 'sekolah', 'sekolah pokok', 'pokok', 'pokok best', 'best', 'best banget', 'banget']"
"['bantu', 'materi', 'apa']","['bantu', 'bantu materi', 'materi', 'materi apa', 'apa']"
['bagus'],['bagus']
['sayang'],['sayang']
"['ajar', 'liat', 'video', 'rangkum', 'materi', 'ajah', 'susah', 'langgan', 'bayar', 'langgan', 'bayar', 'kecewa', 'ajar', 'lagih', 'les']","['ajar', 'ajar liat', 'liat', 'liat video', 'video', 'video rangkum', 'rangkum', 'rangkum materi', 'materi', 'materi ajah', 'ajah', 'ajah susah', 'susah', 'susah langgan', 'langgan', 'langgan bayar', 'bayar', 'bayar langgan', 'langgan', 'langgan bayar', 'bayar', 'bayar kecewa', 'kecewa', 'kecewa ajar', 'ajar', 'ajar lagih', 'lagih', 'lagih les', 'les']"
"['selamat', 'sukses']","['selamat', 'selamat sukses', 'sukses']"
['bagus'],['bagus']
"['udh', 'cobain', 'ruangguru', 'hasil', 'beut', 'jelas', 'mantap', 'worth', 'banget']","['udh', 'udh cobain', 'cobain', 'cobain ruangguru', 'ruangguru', 'ruangguru hasil', 'hasil', 'hasil beut', 'beut', 'beut jelas', 'jelas', 'jelas mantap', 'mantap', 'mantap worth', 'worth', 'worth banget', 'banget']"
"['sayang', 'video', 'kunci', 'langgan']","['sayang', 'sayang video', 'video', 'video kunci', 'kunci', 'kunci langgan', 'langgan']"
"['aplikasi', 'babi', 'gua', 'ken', 'ajar', 'bayar', 'tua', 'gua', 'bayar', 'ken', 'ajar', 'ruang', 'guru', 'bayar', 'babi', 'babi', 'kaya', 'ajar', 'plis', 'gua', 'ken', 'ajar', 'ruang', 'guru', 'gratis']","['aplikasi', 'aplikasi babi', 'babi', 'babi gua', 'gua', 'gua ken', 'ken', 'ken ajar', 'ajar', 'ajar bayar', 'bayar', 'bayar tua', 'tua', 'tua gua', 'gua', 'gua bayar', 'bayar', 'bayar ken', 'ken', 'ken ajar', 'ajar', 'ajar ruang', 'ruang', 'ruang guru', 'guru', 'guru bayar', 'bayar', 'bayar babi', 'babi', 'babi babi', 'babi', 'babi kaya', 'kaya', 'kaya ajar', 'ajar', 'ajar plis', 'plis', 'plis gua', 'gua', 'gua ken', 'ken', 'ken ajar', 'ajar', 'ajar ruang', 'ruang', 'ruang guru', 'guru', 'guru gratis', 'gratis']"
"['maaf', 'vidio', 'ruang', 'guru', 'loading', 'jaring', 'lancar', 'banget']","['maaf', 'maaf vidio', 'vidio', 'vidio ruang', 'ruang', 'ruang guru', 'guru', 'guru loading', 'loading', 'loading jaring', 'jaring', 'jaring lancar', 'lancar', 'lancar banget', 'banget']"
[],[]
"['bagus', 'banget']","['bagus', 'bagus banget', 'banget']"
"['anak', 'langgan', 'ruang', 'guru', 'guru', 'materi', 'sgt', 'tarik', 'anak', 'ngga', 'ngantuk', 'kelas', 'hewan', 'pelihara', 'rajin', 'ajar', 'hewanya', 'lemah', 'malas', 'ajar', 'lucu', 'anakanak', 'suka', 'pelihara', 'dewasa', 'hewan', 'tiga', 'tunjuk', 'tingkat', 'rajin', 'anak', 'terimakasih', 'ruang', 'guru', 'bantu', 'ortu']","['anak', 'anak langgan', 'langgan', 'langgan ruang', 'ruang', 'ruang guru', 'guru', 'guru guru', 'guru', 'guru materi', 'materi', 'materi sgt', 'sgt', 'sgt tarik', 'tarik', 'tarik anak', 'anak', 'anak ngga', 'ngga', 'ngga ngantuk', 'ngantuk', 'ngantuk kelas', 'kelas', 'kelas hewan', 'hewan', 'hewan pelihara', 'pelihara', 'pelihara rajin', 'rajin', 'rajin ajar', 'ajar', 'ajar hewanya', 'hewanya', 'hewanya lemah', 'lemah', 'lemah malas', 'malas', 'malas ajar', 'ajar', 'ajar lucu', 'lucu', 'lucu anakanak', 'anakanak', 'anakanak suka', 'suka', 'suka pelihara', 'pelihara', 'pelihara dewasa', 'dewasa', 'dewasa hewan', 'hewan', 'hewan tiga', 'tiga', 'tiga tunjuk', 'tunjuk', 'tunjuk tingkat', 'tingkat', 'tingkat rajin', 'rajin', 'rajin anak', 'anak', 'anak terimakasih', 'terimakasih', 'terimakasih ruang', 'ruang', 'ruang guru', 'guru', 'guru bantu', 'bantu', 'bantu ortu', 'ortu']"
"['ajar', 'ruang', 'guru']","['ajar', 'ajar ruang', 'ruang', 'ruang guru', 'guru']"
"['ruang', 'guru', 'bantu', 'teknik', 'ajar', 'bosan']","['ruang', 'ruang guru', 'guru', 'guru bantu', 'bantu', 'bantu teknik', 'teknik', 'teknik ajar', 'ajar', 'ajar bosan', 'bosan']"
"['servernya', 'server', 'growtopia', 'video', 'banget', 'play']","['servernya', 'servernya server', 'server', 'server growtopia', 'growtopia', 'growtopia video', 'video', 'video banget', 'banget', 'banget play', 'play']"
['bagus'],['bagus']
['bagus'],['bagus']
"['jawab', 'kasih', 'bintang']","['jawab', 'jawab kasih', 'kasih', 'kasih bintang', 'bintang']"
['bantu'],['bantu']
"['bagus', 'banget', 'aplikasi', 'ajar', 'ilmu', 'tahu']","['bagus', 'bagus banget', 'banget', 'banget aplikasi', 'aplikasi', 'aplikasi ajar', 'ajar', 'ajar ilmu', 'ilmu', 'ilmu tahu', 'tahu']"
['bantu'],['bantu']
[],[]
"['834403', 'kode', 'facebook', 'laznxcarlw']","['834403', '834403 kode', 'kode', 'kode facebook', 'facebook', 'facebook laznxcarlw', 'laznxcarlw']"
"['apkx', 'bagus', 'banget']","['apkx', 'apkx bagus', 'bagus', 'bagus banget', 'banget']"
"['anak', 'susah', 'ajar', 'rangking', '1']","['anak', 'anak susah', 'susah', 'susah ajar', 'ajar', 'ajar rangking', 'rangking', 'rangking 1', '1']"
"['kuota', 'try', 'out', 'premium', '0', 'beli', 'paket', 'minggu', 'balikin', 'duit']","['kuota', 'kuota try', 'try', 'try out', 'out', 'out premium', 'premium', 'premium 0', '0', '0 beli', 'beli', 'beli paket', 'paket', 'paket minggu', 'minggu', 'minggu balikin', 'balikin', 'balikin duit', 'duit']"
"['aplikasi', 'jalan', 'normal', 'kendala', 'salah', 'tolong', 'baik', 'mood', 'ajar', 'ruangguru']","['aplikasi', 'aplikasi jalan', 'jalan', 'jalan normal', 'normal', 'normal kendala', 'kendala', 'kendala salah', 'salah', 'salah tolong', 'tolong', 'tolong baik', 'baik', 'baik mood', 'mood', 'mood ajar', 'ajar', 'ajar ruangguru', 'ruangguru']"
['bantu'],['bantu']
[],[]
"['force', 'close']","['force', 'force close', 'close']"
"['lovee', 'sm', 'ruang', 'guruu']","['lovee', 'lovee sm', 'sm', 'sm ruang', 'ruang', 'ruang guruu', 'guruu']"
"['bantu', 'hadap', 'snbtutbk', 'terima', 'kasih', 'ruangguru']","['bantu', 'bantu hadap', 'hadap', 'hadap snbtutbk', 'snbtutbk', 'snbtutbk terima', 'terima', 'terima kasih', 'kasih', 'kasih ruangguru', 'ruangguru']"
"['bagus', 'aplikasi', 'buka', 'cepat']","['bagus', 'bagus aplikasi', 'aplikasi', 'aplikasi buka', 'buka', 'buka cepat', 'cepat']"
"['aplikasi', 'jelek']","['aplikasi', 'aplikasi jelek', 'jelek']"
[],[]
"['loading', 'video', 'sinyal', 'bagus', 'dipake', 'aplikasi', 'lancar', 'lancar', 'buka', 'video', 'rg', 'loading', 'tolong', 'baik', 'ganggu']","['loading', 'loading video', 'video', 'video sinyal', 'sinyal', 'sinyal bagus', 'bagus', 'bagus dipake', 'dipake', 'dipake aplikasi', 'aplikasi', 'aplikasi lancar', 'lancar', 'lancar lancar', 'lancar', 'lancar buka', 'buka', 'buka video', 'video', 'video rg', 'rg', 'rg loading', 'loading', 'loading tolong', 'tolong', 'tolong baik', 'baik', 'baik ganggu', 'ganggu']"
"['suka', 'ruang', 'guru']","['suka', 'suka ruang', 'ruang', 'ruang guru', 'guru']"
"['bgs', 'materi', 'banayakin', 'vid', 'adapto']","['bgs', 'bgs materi', 'materi', 'materi banayakin', 'banayakin', 'banayakin vid', 'vid', 'vid adapto', 'adapto']"
"['aplikasi', 'didik']","['aplikasi', 'aplikasi didik', 'didik']"
"['materi', 'kurikulum', 'merdeka', 'sedia', 'moga', 'lengkap', 'materi', 'ajar', 'terimakasih', 'ruang', 'guru']","['materi', 'materi kurikulum', 'kurikulum', 'kurikulum merdeka', 'merdeka', 'merdeka sedia', 'sedia', 'sedia moga', 'moga', 'moga lengkap', 'lengkap', 'lengkap materi', 'materi', 'materi ajar', 'ajar', 'ajar terimakasih', 'terimakasih', 'terimakasih ruang', 'ruang', 'ruang guru', 'guru']"
"['kurikulum', 'merdeka', 'cari', 'kadang', 'suka', 'banget', 'ruangguru']","['kurikulum', 'kurikulum merdeka', 'merdeka', 'merdeka cari', 'cari', 'cari kadang', 'kadang', 'kadang suka', 'suka', 'suka banget', 'banget', 'banget ruangguru', 'ruangguru']"
['muas'],['muas']
"['ruangguru', 'bantu', 'nilai', 'bagus', 'kuis', 'uji', 'uji', 'nasional', 'sd', 'bangga', 'aplikasi', 'video', 'manfaat', 'erti', 'materi']","['ruangguru', 'ruangguru bantu', 'bantu', 'bantu nilai', 'nilai', 'nilai bagus', 'bagus', 'bagus kuis', 'kuis', 'kuis uji', 'uji', 'uji uji', 'uji', 'uji nasional', 'nasional', 'nasional sd', 'sd', 'sd bangga', 'bangga', 'bangga aplikasi', 'aplikasi', 'aplikasi video', 'video', 'video manfaat', 'manfaat', 'manfaat erti', 'erti', 'erti materi', 'materi']"
[],[]
"['bimbel', 'online', 'bahas', 'tarik', 'detail', 'ajar', 'biologi', 'kimia', 'fisika', 'matematika', 'detail', 'video', 'praktikum', 'bayang', 'soalsoal']","['bimbel', 'bimbel online', 'online', 'online bahas', 'bahas', 'bahas tarik', 'tarik', 'tarik detail', 'detail', 'detail ajar', 'ajar', 'ajar biologi', 'biologi', 'biologi kimia', 'kimia', 'kimia fisika', 'fisika', 'fisika matematika', 'matematika', 'matematika detail', 'detail', 'detail video', 'video', 'video praktikum', 'praktikum', 'praktikum bayang', 'bayang', 'bayang soalsoal', 'soalsoal']"
"['perfect', 'sempurna', 'aplikasi', 'cuman', 'premium', 'kunci']","['perfect', 'perfect sempurna', 'sempurna', 'sempurna aplikasi', 'aplikasi', 'aplikasi cuman', 'cuman', 'cuman premium', 'premium', 'premium kunci', 'kunci']"
"['ruangguru', 'sebar', 'nomor']","['ruangguru', 'ruangguru sebar', 'sebar', 'sebar nomor', 'nomor']"
"['bagus', 'fitur', 'auto', 'lock', 'scren', 'terkadang', 'layar', 'hp', 'diam']","['bagus', 'bagus fitur', 'fitur', 'fitur auto', 'auto', 'auto lock', 'lock', 'lock scren', 'scren', 'scren terkadang', 'terkadang', 'terkadang layar', 'layar', 'layar hp', 'hp', 'hp diam', 'diam']"
['amazing'],['amazing']
"['rasionalisasi', 'rapot', 'refresh', 'mulu', 'cape', 'cape', 'masukin', 'nilai', 'gagal']","['rasionalisasi', 'rasionalisasi rapot', 'rapot', 'rapot refresh', 'refresh', 'refresh mulu', 'mulu', 'mulu cape', 'cape', 'cape cape', 'cape', 'cape masukin', 'masukin', 'masukin nilai', 'nilai', 'nilai gagal', 'gagal']"
