stopword & Stemming,"after_N-Gram(1,2)"
"['aplikasi', 'bimbel', 'online', 'ruangguru', 'aplikasi', 'best', 'because', 'fitur', 'spesifikasi', 'lengkap', 'muas', 'banget', 'really', 'ruangguru', 'with', 'this', 'understand', 'about', 'each', 'lesson', 'enthusiastic', 'about', 'exploring', 'every', 'knowledge', 'every', 'day', 'hope', 'support', 'future', 'ruangguru', 'even', 'better', 'interesting', 'everyone', 'interested', 'this', 'application', 'thank', 'very', 'much', 'developers', 'ruangguru']","['aplikasi', 'aplikasi bimbel', 'bimbel', 'bimbel online', 'online', 'online ruangguru', 'ruangguru', 'ruangguru aplikasi', 'aplikasi', 'aplikasi best', 'best', 'best because', 'because', 'because fitur', 'fitur', 'fitur spesifikasi', 'spesifikasi', 'spesifikasi lengkap', 'lengkap', 'lengkap muas', 'muas', 'muas banget', 'banget', 'banget really', 'really', 'really ruangguru', 'ruangguru', 'ruangguru with', 'with', 'with this', 'this', 'this understand', 'understand', 'understand about', 'about', 'about each', 'each', 'each lesson', 'lesson', 'lesson enthusiastic', 'enthusiastic', 'enthusiastic about', 'about', 'about exploring', 'exploring', 'exploring every', 'every', 'every knowledge', 'knowledge', 'knowledge every', 'every', 'every day', 'day', 'day hope', 'hope', 'hope support', 'support', 'support future', 'future', 'future ruangguru', 'ruangguru', 'ruangguru even', 'even', 'even better', 'better', 'better interesting', 'interesting', 'interesting everyone', 'everyone', 'everyone interested', 'interested', 'interested this', 'this', 'this application', 'application', 'application thank', 'thank', 'thank very', 'very', 'very much', 'much', 'much developers', 'developers', 'developers ruangguru', 'ruangguru']"
['seru'],['seru']
"['bantu', 'mudah', 'kerja', 'guru', 'modul', 'masuk', 'dalam', 'soalsoal', 'tunjang', 'kerja', 'guruguru', 'latih', 'anak', 'dalam', 'hasil', 'mana', 'anak', 'memgerti', 'skor', 'worksheetnya', 'guruguru', 'mudah', 'anak', 'ajar', 'soalsoal', 'butuh', 'guruguru', 'koreksi', 'siap', 'ajar', 'kelas']","['bantu', 'bantu mudah', 'mudah', 'mudah kerja', 'kerja', 'kerja guru', 'guru', 'guru modul', 'modul', 'modul masuk', 'masuk', 'masuk dalam', 'dalam', 'dalam soalsoal', 'soalsoal', 'soalsoal tunjang', 'tunjang', 'tunjang kerja', 'kerja', 'kerja guruguru', 'guruguru', 'guruguru latih', 'latih', 'latih anak', 'anak', 'anak dalam', 'dalam', 'dalam hasil', 'hasil', 'hasil mana', 'mana', 'mana anak', 'anak', 'anak memgerti', 'memgerti', 'memgerti skor', 'skor', 'skor worksheetnya', 'worksheetnya', 'worksheetnya guruguru', 'guruguru', 'guruguru mudah', 'mudah', 'mudah anak', 'anak', 'anak ajar', 'ajar', 'ajar soalsoal', 'soalsoal', 'soalsoal butuh', 'butuh', 'butuh guruguru', 'guruguru', 'guruguru koreksi', 'koreksi', 'koreksi siap', 'siap', 'siap ajar', 'ajar', 'ajar kelas', 'kelas']"
"['aplikasi', 'bagus', 'banget', 'ajar', 'kasih', 'bintang', '4', 'seru', 'banget', 'video', 'dafa', 'lulu', 'seru', 'banget']","['aplikasi', 'aplikasi bagus', 'bagus', 'bagus banget', 'banget', 'banget ajar', 'ajar', 'ajar kasih', 'kasih', 'kasih bintang', 'bintang', 'bintang 4', '4', '4 seru', 'seru', 'seru banget', 'banget', 'banget video', 'video', 'video dafa', 'dafa', 'dafa lulu', 'lulu', 'lulu seru', 'seru', 'seru banget', 'banget']"
"['aplikasi', 'ruang', 'guru', 'senang', 'kecewa', 'jawabanpenjelasan', 'komputerleptop', 'websitecrome', 'diaksesdan', 'langgan', 'langgan', 'dibukaitu', 'saran', 'kesan', 'sayasaya', 'harap', 'depan', 'guna', 'ruang', 'guru', 'website', 'buka', 'bagus', 'terimakasih']","['aplikasi', 'aplikasi ruang', 'ruang', 'ruang guru', 'guru', 'guru senang', 'senang', 'senang kecewa', 'kecewa', 'kecewa jawabanpenjelasan', 'jawabanpenjelasan', 'jawabanpenjelasan komputerleptop', 'komputerleptop', 'komputerleptop websitecrome', 'websitecrome', 'websitecrome diaksesdan', 'diaksesdan', 'diaksesdan langgan', 'langgan', 'langgan langgan', 'langgan', 'langgan dibukaitu', 'dibukaitu', 'dibukaitu saran', 'saran', 'saran kesan', 'kesan', 'kesan sayasaya', 'sayasaya', 'sayasaya harap', 'harap', 'harap depan', 'depan', 'depan guna', 'guna', 'guna ruang', 'ruang', 'ruang guru', 'guru', 'guru website', 'website', 'website buka', 'buka', 'buka bagus', 'bagus', 'bagus terimakasih', 'terimakasih']"
[],[]
"['fitur', 'skip', '10', 'second', 'device', 'pclaptop']","['fitur', 'fitur skip', 'skip', 'skip 10', '10', '10 second', 'second', 'second device', 'device', 'device pclaptop', 'pclaptop']"
"['ajar', 'tambah', 'pinter', 'anak']","['ajar', 'ajar tambah', 'tambah', 'tambah pinter', 'pinter', 'pinter anak', 'anak']"
"['bahas', 'tambah', 'wawas']","['bahas', 'bahas tambah', 'tambah', 'tambah wawas', 'wawas']"
"['pokok', 'seru', 'ajar', 'ruanggurudari', 'paham', 'sampe', 'pahamjuga', 'roboguru', 'soalsoal', 'sulitjuga', 'dafadan', 'luluyang', 'nonton', 'ajar', 'seru', 'terima', 'kasih', 'ruangguru']","['pokok', 'pokok seru', 'seru', 'seru ajar', 'ajar', 'ajar ruanggurudari', 'ruanggurudari', 'ruanggurudari paham', 'paham', 'paham sampe', 'sampe', 'sampe pahamjuga', 'pahamjuga', 'pahamjuga roboguru', 'roboguru', 'roboguru soalsoal', 'soalsoal', 'soalsoal sulitjuga', 'sulitjuga', 'sulitjuga dafadan', 'dafadan', 'dafadan luluyang', 'luluyang', 'luluyang nonton', 'nonton', 'nonton ajar', 'ajar', 'ajar seru', 'seru', 'seru terima', 'terima', 'terima kasih', 'kasih', 'kasih ruangguru', 'ruangguru']"
"['aplikasi', 'bagus']","['aplikasi', 'aplikasi bagus', 'bagus']"
"['anak', 'usia', 'prasekolah']","['anak', 'anak usia', 'usia', 'usia prasekolah', 'prasekolah']"
"['lumayan', 'tuli', 'tolong', 'upgrade', 'subtitle', 'indonesia', 'tuli', 'makasih']","['lumayan', 'lumayan tuli', 'tuli', 'tuli tolong', 'tolong', 'tolong upgrade', 'upgrade', 'upgrade subtitle', 'subtitle', 'subtitle indonesia', 'indonesia', 'indonesia tuli', 'tuli', 'tuli makasih', 'makasih']"
"['aplikasi', 'ajar', 'ku', 'butuh', 'love', 'ruangguru']","['aplikasi', 'aplikasi ajar', 'ajar', 'ajar ku', 'ku', 'ku butuh', 'butuh', 'butuh love', 'love', 'love ruangguru', 'ruangguru']"
['baget'],['baget']
"['mantep', 'materi', 'lengkap', 'cocok', 'ngejar', 'ranking']","['mantep', 'mantep materi', 'materi', 'materi lengkap', 'lengkap', 'lengkap cocok', 'cocok', 'cocok ngejar', 'ngejar', 'ngejar ranking', 'ranking']"
['baguus'],['baguus']
"['sumpah', 'keluh', 'kesah', 'doang', 'ruang', 'guru', 'suport', 'android', 'suru', 'pindah', 'web', 'hh', 'selesai', 'bener', 'ruang', 'guru', 'sekian', 'terimakasih']","['sumpah', 'sumpah keluh', 'keluh', 'keluh kesah', 'kesah', 'kesah doang', 'doang', 'doang ruang', 'ruang', 'ruang guru', 'guru', 'guru suport', 'suport', 'suport android', 'android', 'android suru', 'suru', 'suru pindah', 'pindah', 'pindah web', 'web', 'web hh', 'hh', 'hh selesai', 'selesai', 'selesai bener', 'bener', 'bener ruang', 'ruang', 'ruang guru', 'guru', 'guru sekian', 'sekian', 'sekian terimakasih', 'terimakasih']"
"['ajar', 'mudahh']","['ajar', 'ajar mudahh', 'mudahh']"
